Title,Address,Editor-Notes,Category,ALPDEntry
"Textile Worker, The (monthly)","United Textile Workers of America, 603-9 Bible House, New York, New York",Thomas F.  McMahon,American Federation of Labor National and International Unions,"Textile Worker, The (monthly). Established 1912, 66 pages, $1. United Textile Workers of America, 603-9 Bible House, New York, N. Y. Thomas F. McMahon. Interna tional Labor News."
Tobacco Worker (m),"Tobacco Workers' International Union, 50 Our Home Life Insurance Building, Louisville, Kentucky.",NONE,American Federation of Labor National and International Unions,"Tobacco Worker (m). Tobacco Workers' International Union, 50 Our Home Life Insurance Building, Louis ville, Ky."
"Typographical Journal, The (monthly)","International Typo graphical Union, 642 Bankers Trust Building, Indianapolis, Indiana",J. W. Hays,American Federation of Labor National and International Unions,"Typographical Journal, The (monthly). Established 1889, 128- 148 pages, $1, circulation 62,000. International Typo graphical Union, 642 Bankers Trust Building, Indian apolis, Ind. J. W. Hays."
Union Clay Worker (monthly),"United Brick and Clay Workers' Union, Room 309, 327 South La Salle Street, Chicago, Illinois",William Tracy,American Federation of Labor National and International Unions,"Union Clay Worker (monthly). Established 1918, 40 pages, $1, circulation 10,000. United Brick and Clay Workers' Union, Room 309, 327 South La Salle Street, Chicago, Ill. William Tracy. International Labor News."
Union Postal Clerk (monthly),"National Federation of Post Of fice Clerks, Room 300, American Federation of Labor Building, 901 Massachusetts Avenue, , Washing ton, DC",Thomas F.  Flaherty,American Federation of Labor National and International Unions,"Union Postal Clerk (monthly). Established 1903, 96 pages, $1, circulation 35,000. National Federation of Post Of fice Clerks, Room 300, American Federation of Labor Building, 901 Massachusetts Avenue, N. W., Washing ton, D. C. Thomas F. Flaherty."
United Mine Workers' Journal (fortnightly),"United Mine Workers of America, 1102 Merchants Bank Building, Indianapolis, Indiana",Ellis Searles,American Federation of Labor National and International Unions,"United Mine Workers' Journal (fortnightly). Established 1891, 24 pages, $1, circulation 300,000. United Mine Workers of America, 1102 Merchants Bank Building, Indianapolis, Ind. Ellis Searles."
Upholsterers' Journal (monthly),"Upholsterers' International Union of North America, 230 East 58th Street, New York, New York",William Kohn,American Federation of Labor National and International Unions,"Upholsterers' Journal (monthly). Established 1922, 28-60 pages, $1, circulation 7,500. Upholsterers' International Union of North America, 230 East 58th Street, New York, N. Y. William Kohn."
"Advance, The (weekly)","Amalgamated Clothing Workers of America, 31 Union Square, New York, New York",Joseph Schlossberg,Independent Trade Unions,"Advance, The (weekly). Fridays. Established 1917, 12 pages, $2, circulation 50,000. Amalgamated Clothing Workers of America, 31 Union Square, New York, N. Y. Joseph Schlossberg."
"American Marine Engineer, The (monthly)","National Marine Engineers' Beneficial Association, 311 Machinists Build ing, 9th Street and Mt. Vernon Place, Washington, D C",O. C. Lightner,Independent Trade Unions,"American Marine Engineer, The (monthly). Established 1906, 34 pages, $1.50, circulation 10,000. National Marine Engineers' Beneficial Association, 311 Machinists Build ing, 9th Street and Mt. Vernon Place, Washington, D. C. O. C. Lightner."
Brotherhood of Locomotive Firemen and Enginemen's Magazine (monthly),"Brotherhood of Locomotive Firemen and Enginemen, 2112 East 46th Street, Cleveland, Ohio",John F. McNamee,Independent Trade Unions,"Brotherhood of Locomotive Firemen and Enginemen's Magazine (monthly). Established 1877, 80 pages, $2, circu lation 110,000. Brotherhood of Locomotive Firemen and Enginemen, 2112 East 46th Street, Cleveland, Ohio. John F. McNamee. Federated Press."
Darbas (fortnightly),"Amalgamated Clothing Workers of America, 31 Union Square, New York, New York",L. Pruseika,Independent Trade Unions,"Darbas (fortnightly). Lithuanian. Established 1918, 8 pages, $2, circulation, 6,000. Amalgamated Clothing Workers of America, 31. Union Square, New York, N. Y. ; L. Pruseika."
Fortschrift (fortnightly),"Amalgamated Clothing Workers of America, 31 Union Square, New York, New York",NONE,Independent Trade Unions,"Fortschrift (fortnightly). Jewish. Established 1915, 12-16 pages, $2, circulation 35,000. Amalgamated Clothing Workers of America, 31 Union Square, New York, N. Y."
Free Voice of the Amalgamated Food Workers (fortnightly),"Amalgamated Food Workers, 98 Bowers Street, Jer sey City, New Jersey",Charles Kiehn,Independent Trade Unions,"Free Voice of the Amalgamated Food Workers (fortnightly). Established 1920, 8 pages, $1, circulation 10,000. The Amalgamated Food Workers, 98 Bowers Street, Jer sey City, N. J.itorial office, 81 East 10th Street, New York, N. Y. Charles Kiehn. Federated Press, International Press Correspondence. Uses mats."
Hotel Worker (monthly),"New York Hotel Workers, branch of the Amal gamated Food Workers, 133 West Slst Street, New York, New York",NONE,Independent Trade Unions,"Hotel Worker (monthly). Established 1923, 8 pages, circulation 7,000. New York Hotel Workers, branch of the Amal gamated Food Workers, 133 West Slst Street, New York, N. Y."
International Pocketbook Worker (monthly),"International Pocketbook Workers' Union, 62 University Place, New York, New York",Ossip Walinsky,Independent Trade Unions,"International Pocketbook Worker (monthly). Established 1923, 16 pages, circulation 8,000. International Pocketbook Workers' Union, 62 University Place, New York, N. Y. Ossip Walinsky."
"Lavoro, II (fortnightly)","Amalgamated Clothing Workers of America, 31 Union Square, New York, New York",Frank Belanca,Independent Trade Unions,"Lavoro, II (fortnightly). Italian. Established 1913, 8 pages, $2, circulation, 30,000. Amalgamated Clothing Workers of America, 31 Union Square, New York, N. Y. Frank Belanca."
Locomotive Engineers' Journal (monthly),"Brotherhood of Loco motive Engineers, 806 Engineers' Building, Cleveland, Ohio","Albert F. Coyle, John F. Welch, asst.",Independent Trade Unions,"Locomotive Engineers' Journal (monthly). Established 1865, 80 pages, $1.50, circulation 92,000. Brotherhood of Loco motive Engineers, 806 Engineers' Building, Cleveland, Ohio. Albert F. Coyle., John F. Welch, asst. ed. Federated Press, Cooperative News Service."
Prace (fortnightly),"Amalgamated Clothing Workers of Ameri ca, 31 Union Square, New York, New York",Anton Novotny,Independent Trade Unions,"Prace (fortnightly). Bohemian. Established 1920, 8 pages, circula tion 4,000. Amalgamated Clothing Workers of Ameri ca, 31 Union Square, New York, N. Y. Anton No- votny."
Przemyslowa Democracia (fortnightly),"Amalgamated Clothing Workers of America, 31 Union Square, New York, New York",Stanislawa Kucharska,Independent Trade Unions,"Przemyslowa Democracia (fortnightly). Polish. Established 1917, 8 pages, $2, circulation 12,000. Amalgamated Clothing Workers of America, 31 Union Square, New York, N. Y. Stanislawa Kucharska. Federated Press."
Rabotchy Golos (monthly),"Amalgamated Clothing Workers of America, 31 Union Square, New York, New York",NONE,Independent Trade Unions,"Rabotchy Golos (monthly). Russian. Established 1919, 4 pages, $2, circulation 2,000. Amalgamated Clothing Workers of America, 31 Union Square, New York, N. Y."
"Railroad Trainman, The (monthly)","Brotherhood of Railroad Trainmen, (printed by Kable Bros. Co., Mount Morris, IL).  820 Superior Avenue, West, Cleveland, Ohio",D. L. Cease,Independent Trade Unions,"Railroad Trainman, The (monthly). Established 1883, 80 pages, $1, circulation 176,000. Brotherhood of Railroad Train men, (printed by Kable Bros. Co., Mount Morris, Ill.) 820 Superior Avenue, West, Cleveland, Ohio. D. L. Cease."
"Railroad Worker, The (monthly)","American Federation of Rail road Workers, 315 South Ashland Boulevard, Chicago, Illinois",George C. Eckroth,Independent Trade Unions,"Railroad Worker, The (monthly). Established 1901, 48 pages, $.60, circulation 20,000. American Federation of Rail road Workers, 315 South Ashland Boulevard, Chicago, Ill. George C. Eckroth. League for Industrial Democracy, Federated Press, etc. Uses mats some times."
"Railway Conductor, The (monthly)","Order of Railway Conductors, 1st Avenue and 1st Street, Cedar Rapids, Iowa",F. H. Pease,Independent Trade Unions,"Railway Conductor, The (monthly). Established 1884, 48 pages, $1, circulation 60,000. Order of Railway Conductors, 1st Avenue and 1st Street, Cedar Rapids, Iowa. F. H. Pease."
Railway Employees' Journal (monthly),"Brotherhood of Railroad Employees, 190 North State Street, Chicago, Illinois",W. B.  Montgomery,Independent Trade Unions,"Railway Employees' Journal (monthly). Established 1913, $1. Brotherhood of Railroad Employees, 190 North State Street, Chicago, Ill. W. B. Montgomery."
"Railway Expressman, The (monthly)","Order of Railway Expressmen, 105 West Monroe Street, Chicago, Illinois.",E. H.  Wilson,Independent Trade Unions,"Railway Expressman, The (monthly)- Established 1919, 64 pages, $1, circulation 18,000. Order of Railway Expressmen, 105 West Monroe Street, Chicago, Ill. E. H. Wilson. Federated Press, Labor Press League,"
Steam Shovel and Dredge (monthly),"International Brother hood of Steam Shovel and Dredge Men, Room 1208, 105 West Monroe Street, Chicago, Illinois","F. E.  Langdon,  M. H. Madden",Independent Trade Unions,"Steam Shovel and Dredge (monthly). Established 1900, 64 pages, $1.50, circulation 6,000. International Brother hood of Steam Shovel and Dredge Men, Room 1208, 105 West Monroe Street, Chicago, Ill. F. E. Langdon, M. H. Maddens. Uses mats."
"Train Dispatcher, The (monthly)","American Train Dispatchers Association, Train Dispatchers Building, 10 East Huron Street, Chicago, Illinois","C. L.  Darling,  E. H. Stevenson",Independent Trade Unions,"Train Dispatcher, The (monthly). Established 1919, 64 pages, $1.50, circulation 6,000. American Train Dispatchers Association, Train Dispatchers Building, 10 East Huron Street, Chicago, Ill. C. L. Darling, E. H. Stevensons. Federated Press."
Bermunkas (weekly),"Industrial Workers of the World, 3333 West Belmont Avenue, Chicago, Illinois",Louis Bartha,Industrial Workers of the World,"Bermunkas (weekly). Hungarian. Mondays. Established 1912, 6 pages, $2, circulation 6,000. Industrial Workers of the World, 3333 West Belmont Avenue, Chicago, Ill. Louis Bartha. Federated Press, Defense News Service."
Felszabadulas (weekly),"Industrial Workers of the World, 3333 West Belmont Avenue, Chicago, Illinois",NONE,Industrial Workers of the World,"Felszabadulas (weekly). Hungarian. Industrial Workers of the World, 3333 West Belmont Avenue, Chicago, Ill."
Golos Truzenika (fortnightly),"Industrial Workers of the World, 3333 West Belmont Avenue, Chicago, Illinois",William Horwich,Independent Trade Unions,"Golos Truzenika (fortnightly). Russian. Established 1917, 32 pages, $1.50, circulation 5,000. Industrial Workers of the World, 3333 West Belmont Avenue, Chicago, Ill. William Horwich."
